Time,Open,High,Low,Last,Change,Volume,"Open Int"
02/21/2019,-3.749,-3.749,-3.749,-3.749,0.089,0,0
02/20/2019,-3.838,-3.838,-3.838,-3.838,-0.084,0,0
02/19/2019,-3.754,-3.754,-3.754,-3.754,-0.136,0,0
02/14/2019,-3.618,-3.618,-3.618,-3.618,0.14,0,0
02/13/2019,-3.758,-3.758,-3.758,-3.758,-0.191,0,0
02/12/2019,-3.567,-3.567,-3.567,-3.567,0.0049999999999999,0,0
02/11/2019,-3.572,-3.572,-3.572,-3.572,0.278,0,0
02/07/2019,-3.85,-3.85,-3.85,-3.85,-0.00099999999999989,0,0
02/06/2019,-3.849,-3.849,-3.849,-3.849,0.048,0,0
02/05/2019,-3.897,-3.897,-3.897,-3.897,0.102,0,0
02/04/2019,-3.999,-3.999,-3.999,-3.999,0.054,0,0
01/31/2019,-4.053,-4.053,-4.053,-4.053,-0.0010000000000003,0,0
01/30/2019,-4.052,-4.052,-4.052,-4.052,0.011,0,0
01/29/2019,-4.063,-4.063,-4.063,-4.063,-0.0059999999999993,0,0
01/28/2019,-4.057,-4.057,-4.057,-4.057,-0.068000000000001,0,0
01/24/2019,-3.989,-3.989,-3.989,-3.989,0.184,0,0
01/23/2019,-4.173,-4.173,-4.173,-4.173,-0.02,0,0
"Downloaded from Barchart.com as of 04-07-2020 03:13am CDT"
